candidate_id,cost_scenario,phase,window_id,metric,before,after
A03__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,4.888649555275558,4.950588386382785
A03__QQQM_SMH__primary,stress,evaluation,W2,win_rate,1.0,0.4
A03__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,0.46804627991484304,0.4976871473432979
A03__QQQM_SMH__primary,stress,evaluation,W3,win_rate,1.0,0.3333333333333333
A03__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,-0.13734795992401833,-0.15032508172167822
A03__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,3.9499491792616666,5.469804646843668
A03__QQQM_SMH__primary,stress,evaluation,W5,win_rate,1.0,0.8
A03__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,1.0375482460060503,1.0608047866253847
A03__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,3.6010912765694454,3.77584040523818
A03__QQQM_SMH__primary,stress,delay,,win_rate,1.0,0.9230769230769231
A03__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,1.9506001117864045,2.179101809415071
A03__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,4.551017226534115,4.74016702310166
A03__QQQM_SMH__primary,stress,stress,stress_2022,win_rate,,0.0
A03__QQQM_SMH__primary,stress,stress,stress_2022,sortino_zero_mar,-1.0175207709728895,-1.8978939551382938
A03__QQQM_SMH__primary,severe,continuous,,win_rate,1.0,0.9259259259259259
A03__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,1.9669151339281103,2.187260340849131
A03__QQQM_SMH__primary,severe,evaluation,W1,win_rate,1.0,0.8
A03__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,4.812527957963035,4.872899840653357
A03__QQQM_SMH__primary,severe,evaluation,W2,win_rate,1.0,0.4
A03__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,0.4402317577323604,0.4690463676505887
A03__QQQM_SMH__primary,severe,evaluation,W3,win_rate,1.0,0.3333333333333333
A03__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,-0.20668115062706943,-0.22534007265696446
A03__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,3.9131132048547412,5.4188299743393475
A03__QQQM_SMH__primary,severe,evaluation,W5,win_rate,1.0,0.8
A03__QQQM_SMH__primary,severe,evaluation,W5,sortino_zero_mar,1.0151332449806427,1.0357663961061363
A03__QQQM_SMH__primary,severe,evaluation,W6,sortino_zero_mar,3.5781233987584518,3.749084988929748
A03__QQQM_SMH__primary,severe,delay,,win_rate,1.0,0.9230769230769231
A03__QQQM_SMH__primary,severe,delay,,sortino_zero_mar,1.9276598748717326,2.152362769894398
A03__QQQM_SMH__primary,severe,stress,stress_2020,sortino_zero_mar,4.4975626507536095,4.675798751641749
A03__QQQM_SMH__primary,severe,stress,stress_2022,win_rate,,0.0
A03__QQQM_SMH__primary,severe,stress,stress_2022,sortino_zero_mar,-1.0695573798550213,-1.9512271822645753
A04__QQQM_SMH__primary,base,continuous,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,1.9096475404000375,2.0986490428591136
A04__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,5.660983819329022,5.455494673661929
A04__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,0.4651473688692665,0.4833108488453794
A04__QQQM_SMH__primary,base,evaluation,W3,win_rate,1.0,0.3333333333333333
A04__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,0.0365391380809173,0.03912452536677757
A04__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,4.112827998217009,5.086239169566281
A04__QQQM_SMH__primary,base,evaluation,W5,sortino_zero_mar,1.3369441162824431,1.3384899283830494
A04__QQQM_SMH__primary,base,evaluation,W6,sortino_zero_mar,2.616103553469935,2.6676262403888287
A04__QQQM_SMH__primary,base,delay,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,base,delay,,sortino_zero_mar,1.8950534673039967,2.0865964284453877
A04__QQQM_SMH__primary,base,stress,stress_2020,sortino_zero_mar,4.60288486387061,4.950341340229357
A04__QQQM_SMH__primary,base,stress,stress_2022,win_rate,,0.0
A04__QQQM_SMH__primary,base,stress,stress_2022,sortino_zero_mar,-1.1577156091721323,-1.9565125398174172
A04__QQQM_SMH__primary,stress,continuous,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,stress,continuous,,sortino_zero_mar,1.9017231296574932,2.0892030393339094
A04__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,5.6490953551328635,5.433783349378335
A04__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,0.4565535589808726,0.47389213045569534
A04__QQQM_SMH__primary,stress,evaluation,W3,win_rate,1.0,0.3333333333333333
A04__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,0.002479497689392281,0.0026507748178808835
A04__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,4.104292896662622,5.0604422257077655
A04__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,1.3268178610473296,1.3264033135203943
A04__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,2.609523797412753,2.658747148443158
A04__QQQM_SMH__primary,stress,delay,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,1.8877782323874195,2.0774062372016107
A04__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,4.564583770386214,4.904744385841383
A04__QQQM_SMH__primary,stress,stress,stress_2022,win_rate,,0.0
A04__QQQM_SMH__primary,stress,stress,stress_2022,sortino_zero_mar,-1.1715861332643145,-1.9791142375896524
A04__QQQM_SMH__primary,severe,continuous,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,1.8897318829508718,2.0749974350816354
A04__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,5.627375140269866,5.40009015803125
A04__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,0.4435932022210223,0.4597758039312135
A04__QQQM_SMH__primary,severe,evaluation,W3,win_rate,1.0,0.3333333333333333
A04__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,-0.048655648646760974,-0.05190066662035718
A04__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,4.08991878047797,5.021065230178515
A04__QQQM_SMH__primary,severe,evaluation,W5,sortino_zero_mar,1.3112350655096008,1.3081733344594528
A04__QQQM_SMH__primary,severe,evaluation,W6,sortino_zero_mar,2.599554954414877,2.645421136213529
A04__QQQM_SMH__primary,severe,delay,,win_rate,1.0,0.75
A04__QQQM_SMH__primary,severe,delay,,sortino_zero_mar,1.8766814104710243,2.0635671017921067
A04__QQQM_SMH__primary,severe,stress,stress_2020,sortino_zero_mar,4.504422110807522,4.835168708666669
A04__QQQM_SMH__primary,severe,stress,stress_2022,win_rate,,0.0
A04__QQQM_SMH__primary,severe,stress,stress_2022,sortino_zero_mar,-1.1893433052088274,-2.0117735685766696
A05__QQQM_SMH__primary,base,continuous,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,0.6336313461463154,0.9003881870937659
A05__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,2.5223564936816127,2.926315032810527
A05__QQQM_SMH__primary,base,evaluation,W2,win_rate,1.0,0.6666666666666666
A05__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,0.39406598922898706,0.9080240375014632
A05__QQQM_SMH__primary,base,evaluation,W3,win_rate,1.0,0.25
A05__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,-0.8701501169730667,-1.3781006763806973
A05__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,4.04762181882951,5.024967528089545
A05__QQQM_SMH__primary,base,evaluation,W5,win_rate,1.0,0.42857142857142855
A05__QQQM_SMH__primary,base,evaluation,W5,sortino_zero_mar,-0.9260989690596261,-1.1658369299940943
A05__QQQM_SMH__primary,base,evaluation,W6,sortino_zero_mar,1.435816832688558,2.2047262588533214
A05__QQQM_SMH__primary,base,delay,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,base,delay,,sortino_zero_mar,0.7655903810968431,1.091341561601712
A05__QQQM_SMH__primary,base,stress,stress_2020,sortino_zero_mar,3.8704759175085526,5.387426291092177
A05__QQQM_SMH__primary,stress,continuous,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,stress,continuous,,sortino_zero_mar,0.5900734196148828,0.8366745105837075
A05__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,2.45040406537921,2.8594110339575995
A05__QQQM_SMH__primary,stress,evaluation,W2,win_rate,1.0,0.6666666666666666
A05__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,0.3669934973721935,0.8437123097380849
A05__QQQM_SMH__primary,stress,evaluation,W3,win_rate,1.0,0.25
A05__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,-0.9187084856651715,-1.4541778216147103
A05__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,4.0427455469808695,4.9989752201731115
A05__QQQM_SMH__primary,stress,evaluation,W5,win_rate,1.0,0.42857142857142855
A05__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,-1.0109048596650043,-1.269074034102285
A05__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,1.4180910764868602,2.176112256493575
A05__QQQM_SMH__primary,stress,delay,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,0.7229588210356639,1.02600991223159
A05__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,3.8414905082949353,5.3470800937209795
A05__QQQM_SMH__primary,severe,continuous,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,0.5248929729473705,0.7414660657717079
A05__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,2.4258768969469955,2.7581621496610724
A05__QQQM_SMH__primary,severe,evaluation,W2,win_rate,1.0,0.6666666666666666
A05__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,0.32635933376381393,0.7478497540971177
A05__QQQM_SMH__primary,severe,evaluation,W3,win_rate,1.0,0.25
A05__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,-0.9972233686496345,-1.56629034432237
A05__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,4.033052134901694,4.9588889804176075
A05__QQQM_SMH__primary,severe,evaluation,W5,win_rate,1.0,0.2857142857142857
A05__QQQM_SMH__primary,severe,evaluation,W5,sortino_zero_mar,-1.141444013480704,-1.4224691838819643
A05__QQQM_SMH__primary,severe,evaluation,W6,sortino_zero_mar,1.3914325113766106,2.133219924161498
A05__QQQM_SMH__primary,severe,delay,,win_rate,1.0,0.6
A05__QQQM_SMH__primary,severe,delay,,sortino_zero_mar,0.658193750707388,0.9281035042062297
A05__QQQM_SMH__primary,severe,stress,stress_2020,sortino_zero_mar,3.7980347904298606,5.2865919871553935
A06__QQQM_SMH__primary,base,continuous,,win_rate,1.0,0.4857142857142857
A06__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,-0.3291411346311624,-1.1561865469855914
A06__QQQM_SMH__primary,base,evaluation,W1,win_rate,1.0,0.25
A06__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,-0.31709553869802065,-0.8816425156596164
A06__QQQM_SMH__primary,base,evaluation,W2,win_rate,1.0,0.3333333333333333
A06__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,-0.8095732521539262,-2.492295860131053
A06__QQQM_SMH__primary,base,evaluation,W3,win_rate,1.0,0.6666666666666666
A06__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,1.2277592509350448,2.8162578272750163
A06__QQQM_SMH__primary,base,evaluation,W4,win_rate,1.0,0.8
A06__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,1.1356723255881092,4.398828112535726
A06__QQQM_SMH__primary,base,evaluation,W5,win_rate,1.0,0.3333333333333333
A06__QQQM_SMH__primary,base,evaluation,W5,sortino_zero_mar,-0.493531641751811,-1.6971970639694534
A06__QQQM_SMH__primary,base,evaluation,W6,win_rate,1.0,0.4
A06__QQQM_SMH__primary,base,evaluation,W6,sortino_zero_mar,-0.6482118477768339,-1.7215264652204905
A06__QQQM_SMH__primary,base,delay,,win_rate,1.0,0.6285714285714286
A06__QQQM_SMH__primary,base,delay,,sortino_zero_mar,0.07328515035566883,0.31799481462877355
A06__QQQM_SMH__primary,base,stress,stress_2020,sortino_zero_mar,,1.244004513608549
A06__QQQM_SMH__primary,stress,continuous,,win_rate,1.0,0.42857142857142855
A06__QQQM_SMH__primary,stress,continuous,,sortino_zero_mar,-0.40690300445888733,-1.3803697159426365
A06__QQQM_SMH__primary,stress,evaluation,W1,win_rate,1.0,0.25
A06__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,-0.41876661801119014,-1.1586711386171156
A06__QQQM_SMH__primary,stress,evaluation,W2,win_rate,1.0,0.3333333333333333
A06__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,-0.8802470870013872,-2.605782277510593
A06__QQQM_SMH__primary,stress,evaluation,W3,win_rate,1.0,0.5555555555555556
A06__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,0.6519347698177932,1.4306407809610935
A06__QQQM_SMH__primary,stress,evaluation,W4,win_rate,1.0,0.6
A06__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,0.9035061784609331,2.8006136783967195
A06__QQQM_SMH__primary,stress,evaluation,W5,win_rate,1.0,0.3333333333333333
A06__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,-0.5586724668795017,-1.8836964050667382
A06__QQQM_SMH__primary,stress,evaluation,W6,win_rate,1.0,0.4
A06__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,-0.7271810881333588,-1.8750761670586553
A06__QQQM_SMH__primary,stress,delay,,win_rate,1.0,0.5714285714285714
